"Chromosome" "RegionStart" "MbRegionLabel"
"1" 1 1 1
"2" 1 1000001 2
"3" 1 2000001 3
"4" 1 3000001 4
"5" 1 4000001 5
"6" 1 5000001 6
"7" 1 6000001 7
"8" 1 7000001 8
"9" 1 8000001 9
"10" 1 9000001 10
"11" 1 10000001 11
"12" 1 11000001 12
"13" 1 12000001 13
"14" 1 13000001 14
"15" 1 14000001 15
"16" 1 15000001 16
"17" 1 16000001 17
"18" 1 17000001 18
"19" 1 18000001 19
"20" 1 19000001 20
"21" 1 20000001 21
"22" 1 21000001 22
"23" 1 22000001 23
"24" 1 23000001 24
"25" 1 24000001 25
"26" 1 25000001 26
"27" 1 26000001 27
"28" 1 27000001 28
"29" 1 28000001 29
"30" 1 29000001 30
"31" 1 30000001 31
"32" 2 1 32
"33" 2 1000001 33
"34" 2 2000001 34
"35" 2 3000001 35
"36" 2 4000001 36
"37" 2 5000001 37
"38" 2 6000001 38
"39" 2 7000001 39
"40" 2 8000001 40
"41" 2 9000001 41
"42" 2 10000001 42
"43" 2 11000001 43
"44" 2 12000001 44
"45" 2 13000001 45
"46" 2 14000001 46
"47" 2 15000001 47
"48" 2 16000001 48
"49" 2 17000001 49
"50" 2 18000001 50
"51" 2 19000001 51
"52" 3 1 52
"53" 3 1000001 53
"54" 3 2000001 54
"55" 3 3000001 55
"56" 3 4000001 56
"57" 3 5000001 57
"58" 3 6000001 58
"59" 3 7000001 59
"60" 3 8000001 60
"61" 3 9000001 61
"62" 3 10000001 62
"63" 3 11000001 63
"64" 3 12000001 64
"65" 3 13000001 65
"66" 3 14000001 66
"67" 3 15000001 67
"68" 3 16000001 68
"69" 3 17000001 69
"70" 3 18000001 70
"71" 3 19000001 71
"72" 3 20000001 72
"73" 3 21000001 73
"74" 3 22000001 74
"75" 3 23000001 75
"76" 4 1 76
"77" 4 1000001 77
"78" 4 2000001 78
"79" 4 3000001 79
"80" 4 4000001 80
"81" 4 5000001 81
"82" 4 6000001 82
"83" 4 7000001 83
"84" 4 8000001 84
"85" 4 9000001 85
"86" 4 10000001 86
"87" 4 11000001 87
"88" 4 12000001 88
"89" 4 13000001 89
"90" 4 14000001 90
"91" 4 15000001 91
"92" 4 16000001 92
"93" 4 17000001 93
"94" 4 18000001 94
"95" 5 1 95
"96" 5 1000001 96
"97" 5 2000001 97
"98" 5 3000001 98
"99" 5 4000001 99
"100" 5 5000001 100
"101" 5 6000001 101
"102" 5 7000001 102
"103" 5 8000001 103
"104" 5 9000001 104
"105" 5 10000001 105
"106" 5 11000001 106
"107" 5 12000001 107
"108" 5 13000001 108
"109" 5 14000001 109
"110" 5 15000001 110
"111" 5 16000001 111
"112" 5 17000001 112
"113" 5 18000001 113
"114" 5 19000001 114
"115" 5 20000001 115
"116" 5 21000001 116
"117" 5 22000001 117
"118" 5 23000001 118
"119" 5 24000001 119
"120" 5 25000001 120
"121" 5 26000001 121
